id,exp_session,test_type,result,added_at,session_id,participant_id,video,group,pretest_1,pretest_2,pretest_3,pretest_4,pretest_5,pretest_6,pretest_7,pretest_8,pretest_9,pretest_10,pretest_11,pretest_12,pretest_13,pretest_14,pretest_15,pretest_16,pretest_17,pretest_18,pretest_19,pretest_20,pretest_21
57,2015-06-19 19:16:48+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M07,pretest,"{""pretest_1"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7.0"",""pretest_6"":""5"",""pretest_7"":""2.7"",""pretest_8"":""2"",""pretest_9"":""standard deviation squared"",""pretest_10"":""2"",""pretest_11"":""unitless"",""pretest_12"":""4"",""pretest_13"":""It is the average distance of difference between a typical individual and the mean"",""pretest_14"":""3"",""pretest_15"":""variance is standard deviation squared"",""pretest_16"":""5""}",2015-06-19 19:20:29+00:00,11597,M07,43,1,4,,4,4,7.0,5,2.7,2,standard deviation squared,2,unitless,4,It is the average distance of difference between a typical individual and the mean,3,variance is standard deviation squared,5,,,,,
59,2015-06-19 19:26:35+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M06,pretest,"{""pretest_1"":""1"",""pretest_2"":""1"",""pretest_3"":""1"",""pretest_4"":""1"",""pretest_5"":""7"",""pretest_6"":""3"",""pretest_7"":""7"",""pretest_8"":""1"",""pretest_9"":""2"",""pretest_10"":""1"",""pretest_11"":""2"",""pretest_12"":""1"",""pretest_13"":""I do not know."",""pretest_14"":""1"",""pretest_15"":""I do not know"",""pretest_16"":""1""}",2015-06-19 19:28:29+00:00,11601,M06,43,1,1,1,1,1,7,3,7,1,2,1,2,1,I do not know.,1,I do not know,1,,,,,
62,2015-06-19 19:32:33+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M02,pretest,"{""pretest_1"":""2"",""pretest_2"":""2"",""pretest_3"":""2"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""don't know"",""pretest_8"":""1"",""pretest_9"":""don't know"",""pretest_10"":""1"",""pretest_11"":""don't know"",""pretest_12"":""1"",""pretest_13"":""don't know"",""pretest_14"":""1"",""pretest_15"":""don't know"",""pretest_16"":""1""}",2015-06-19 19:39:19+00:00,11602,M02,43,1,2,2,2,4,7,5,don't know,1,don't know,1,don't know,1,don't know,1,don't know,1,,,,,
66,2015-06-19 19:46:48+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M08,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""2"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""2"",""pretest_8"":""1"",""pretest_9"":""tenths"",""pretest_10"":""1"",""pretest_11"":""tenths"",""pretest_12"":""1"",""pretest_13"":""A way to define the amount of deviation in a group of variables."",""pretest_14"":""2"",""pretest_15"":""Variance is required to find standard deviation"",""pretest_16"":""2""}",2015-06-19 19:49:51+00:00,11614,M08,43,1,3,3,2,3,7,5,2,1,tenths,1,tenths,1,A way to define the amount of deviation in a group of variables.,2,Variance is required to find standard deviation,2,,,,,
75,2015-06-19 19:53:12+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M04,pretest,"{""pretest_1"":""2"",""pretest_2"":""3"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""2"",""pretest_8"":""1"",""pretest_9"":""1"",""pretest_10"":""1"",""pretest_11"":""5"",""pretest_12"":""1"",""pretest_13"":""It might mean that the numbers could be off by a certain amount."",""pretest_14"":""1"",""pretest_15"":""one is varied and one is deviated"",""pretest_16"":""1""}",2015-06-19 19:55:46+00:00,11617,M04,43,1,2,3,2,2,7,5,2,1,1,1,5,1,It might mean that the numbers could be off by a certain amount.,1,one is varied and one is deviated,1,,,,,
76,2015-06-19 19:58:31+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M03,pretest,"{""pretest_1"":""2"",""pretest_2"":""2"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3"",""pretest_8"":""1"",""pretest_9"":""3"",""pretest_10"":""1"",""pretest_11"":""3"",""pretest_12"":""1"",""pretest_13"":""no clue"",""pretest_14"":""1"",""pretest_15"":""no idea"",""pretest_16"":""1""}",2015-06-19 20:00:11+00:00,11621,M03,43,1,2,2,2,2,7,5,3,1,3,1,3,1,no clue,1,no idea,1,,,,,
82,2015-06-19 20:15:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M09,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""5"",""pretest_8"":""1"",""pretest_9"":""year"",""pretest_10"":""1"",""pretest_11"":""year"",""pretest_12"":""1"",""pretest_13"":""the measure of the differences in amounts in population."",""pretest_14"":""2"",""pretest_15"":""The standard deviation can be found using the variance"",""pretest_16"":""2""}",2015-06-19 20:19:04+00:00,11622,M09,43,1,3,3,3,3,7,5,5,1,year,1,year,1,the measure of the differences in amounts in population.,2,The standard deviation can be found using the variance,2,,,,,
101,2015-06-19 20:35:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""3"",""pretest_2"":""4"",""pretest_3"":""3"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""?"",""pretest_8"":""1"",""pretest_9"":""years"",""pretest_10"":""3"",""pretest_11"":""years"",""pretest_12"":""2"",""pretest_13"":""not sure"",""pretest_14"":""1"",""pretest_15"":""not sure"",""pretest_16"":""1""}",2015-06-19 20:37:26+00:00,11625,M10,43,1,3,4,3,4,7,5,?,1,years,3,years,2,not sure,1,not sure,1,,,,,
103,2015-06-19 21:04:49+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M05,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.50"",""pretest_8"":""4"",""pretest_9"":""years"",""pretest_10"":""5"",""pretest_11"":""years"",""pretest_12"":""5"",""pretest_13"":""measures the variability of data in a population"",""pretest_14"":""4"",""pretest_15"":""variance = square of standard deviation"",""pretest_16"":""4""}",2015-06-19 21:14:14+00:00,11627,M05,43,1,3,3,3,3,7,5,3.50,4,years,5,years,5,measures the variability of data in a population,4,variance = square of standard deviation,4,,,,,
106,2015-06-19 21:46:50+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M01,pretest,"{""pretest_1"":""1"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""don't know"",""pretest_8"":""1"",""pretest_9"":""don't know"",""pretest_10"":""1"",""pretest_11"":""don't know"",""pretest_12"":""1"",""pretest_13"":""don't know"",""pretest_14"":""1"",""pretest_15"":""don't know"",""pretest_16"":""1""}",2015-06-19 21:48:40+00:00,11640,M01,43,1,1,3,3,3,7,5,don't know,1,don't know,1,don't know,1,don't know,1,don't know,1,,,,,
118,2015-06-20 03:05:04+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M17,pretest,"{""pretest_1"":""36"",""pretest_2"":""Male"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""2"",""pretest_8"":""3"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""?"",""pretest_13"":""1"",""pretest_14"":""?"",""pretest_15"":""1"",""pretest_16"":""?"",""pretest_17"":""1"",""pretest_18"":""?"",""pretest_19"":""1"",""pretest_20"":""?"",""pretest_21"":""1""}",2015-06-20 03:07:06+00:00,11732,M17,43,2,36,Male,2,2,2,3,2,3,2,7,5,?,1,?,1,?,1,?,1,?,1
