id,exp_session,test_type,result,added_at
1,2015-02-23 13:05:14+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":""11"",""pretest_3"":""22""}",2015-02-23 13:05:23+00:00
2,2015-02-23 13:09:09+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":""1"",""pretest_3"":""2""}",2015-02-23 13:09:14+00:00
3,2015-02-23 13:11:28+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:11:44+00:00
4,2015-02-23 13:12:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:13:36+00:00
5,2015-02-23 13:16:17+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:16:20+00:00
6,2015-02-23 13:18:06+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:18:13+00:00
7,2015-02-23 13:19:42+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:19:45+00:00
8,2015-02-23 13:26:39+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:26:41+00:00
9,2015-02-23 13:27:14+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=0 | participant_id=,pretest,"{""pretest_1"":""D"",""pretest_2"":"""",""pretest_3"":""""}",2015-02-23 13:27:17+00:00
10,2015-02-23 18:41:10+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=p01,pretest,"{""pretest_1"":""D"",""pretest_2"":""1"",""pretest_3"":""2""}",2015-02-23 18:41:17+00:00
11,2015-02-23 19:12:10+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=p01,pretest,"{""pretest_1"":""D"",""pretest_2"":""2"",""pretest_3"":""2""}",2015-02-23 19:12:17+00:00
12,2015-02-23 19:20:08+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=p01,pretest,"{""pretest_1"":""D"",""pretest_2"":""1"",""pretest_3"":""2""}",2015-02-23 19:20:56+00:00
13,2015-02-23 19:20:08+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=p01,posttest,"{""posttest_1"":""D"",""posttest_2"":""1"",""posttest_3"":""1""}",2015-02-23 19:22:01+00:00
